repo_age,logger/lloc
529.98,0.0076
3275.13,0.0067
1035.33,0.0003
1301.28,0.0073
1007.84,0.0559
1869.13,0.0412
1567.49,0.0009
2788.54,0.0143
1057.64,0.0097
951.49,0.0207
608.90,0.0040
1076.29,0.0453
352.28,0.0122
1391.91,0.0223
2134.82,0.0105
1838.36,0.0039
1168.80,0.0017
1112.18,0.0054
441.28,0.0030
1651.60,0.0069
2347.46,0.0133
2282.73,0.0033
3319.05,0.0162
1253.32,0.0006
1541.99,0.0095
884.25,0.0005
781.80,0.0000
3296.16,0.0039
924.71,0.0018
461.07,0.0019
1572.80,0.0152
661.84,0.0170
1028.45,0.0017
2611.19,0.0047
342.59,0.0092
3244.38,0.0072
1424.50,0.0058
796.46,0.0010
900.70,0.0444
1364.16,0.0484
980.41,0.0051
2570.16,0.0181
658.37,0.0006
1235.97,0.0042
3371.08,0.0107
1890.40,0.0368
1310.33,0.0368
3508.07,0.0119
2072.02,0.0186
1691.41,0.0289
3320.51,0.0080
1784.64,0.0365
1007.62,0.0823
1160.40,0.0053
1422.40,0.0089
2380.86,0.0096
472.03,0.0148
4550.50,0.0126
2187.41,0.0192
4135.03,0.0004
2088.38,0.0084
1729.13,0.0930
1378.02,0.0015
1550.21,0.0001
995.51,0.0270
332.84,0.0078
2080.39,0.0043
1332.48,0.0004
760.23,0.0021
2107.26,0.0088
1580.21,0.0040
1394.09,0.0388
1584.72,0.0393
1093.67,0.0088
1604.16,0.0190
797.14,0.0149
1417.85,0.0017
2522.92,0.0391
1415.35,0.0112
1241.94,0.0049
2312.49,0.0320
773.05,0.0173
776.89,0.0302
510.28,0.0128
1110.79,0.0027
694.43,0.0039
1400.83,0.0256
1526.21,0.0059
1891.12,0.0091
3271.38,0.0003
347.24,0.0439
1669.86,0.0055
889.40,0.0237
2692.68,0.1171
1951.58,0.0000
3130.19,0.0010
737.80,0.0187
542.20,0.0157
541.19,0.0219
1886.56,0.0060
2603.24,0.0116
3069.96,0.0206
1155.08,0.0008
122.97,0.0517
2240.40,0.0259
1897.60,0.0493
1072.31,0.0133
482.26,0.0026
483.73,0.0326
1153.71,0.0480
3300.45,0.0024
1813.45,0.0158
447.78,0.0171
708.87,0.0105
1310.94,0.0002
498.49,0.0050
125.99,0.0000
2581.01,0.0034
3335.04,0.0104
1802.26,0.0091
3928.84,0.0037
3298.33,0.0164
1675.81,0.0034
2031.90,0.0524
383.03,0.0000
2063.81,0.0428
1416.28,0.0672
633.49,0.0331
652.78,0.0070
443.54,0.0178
1472.93,0.0223
336.84,0.0038
1720.45,0.0035
962.33,0.0010
1355.53,0.0032
2873.88,0.0018
2047.84,0.0631
1656.33,0.0000
2400.41,0.0103
2353.49,0.0060
2389.63,0.0059
4367.57,0.0030
1708.34,0.0024
2877.90,0.0052
2339.99,0.0122
1125.63,0.0130
2351.12,0.0015
1395.42,0.0108
1374.37,0.0019
1210.35,0.0036
1392.81,0.0208
1291.91,0.0197
2625.31,0.0004
718.98,0.0135
1462.25,0.0159
800.92,0.0024
1478.30,0.0101
436.28,0.0267
2624.54,0.0929
1432.03,0.0009
1929.94,0.0100
2438.60,0.0080
696.15,0.0000
1738.36,0.0658
744.69,0.0170
1418.68,0.0014
458.21,0.0017
3435.82,0.0033
372.76,0.0000
599.88,0.0333
1333.35,0.0151
1013.94,0.0047
2153.02,0.0101
1864.68,0.0119
1630.37,0.0085
2277.69,0.0176
2535.47,0.0005
3437.93,0.0189
2655.25,0.0149
737.19,0.0009
2536.16,0.0064
1735.73,0.0062
1820.66,0.0048
1298.42,0.0127
1477.97,0.0032
733.71,0.0087
2792.57,0.0065
1616.99,0.0290
793.47,0.0087
3304.84,0.0438
1533.50,0.0076
3090.47,0.0017
1300.06,0.0283
945.97,0.0067
277.06,0.0024
1404.43,0.0150
2289.89,0.0001
265.54,0.0305
342.23,0.0094
501.38,0.0004
1074.42,0.0047
1492.86,0.0072
1200.75,0.0038
1109.27,0.0084
1455.16,0.0160
2286.08,0.0007
2200.34,0.0317
1954.98,0.0139
4138.00,0.0111
1470.02,0.0261
1480.26,0.0019
1211.64,0.0022
598.99,0.0044
681.59,0.0190
1273.04,0.0077
2370.34,0.0114
1815.50,0.0215
2875.23,0.0019
2023.07,0.0078
1233.22,0.0231
1442.16,0.0104
631.28,0.0231
511.52,0.0150
2813.15,0.0048
679.58,0.0347
1331.70,0.0048
1895.66,0.0089
2722.77,0.0025
3565.77,0.0357
654.37,0.0012
4291.30,0.0030
1932.56,0.0398
3064.55,0.0019
3774.02,0.0046
2130.32,0.0011
3498.71,0.0007
1947.23,0.0182
175.38,0.0038
1138.06,0.0080
1959.50,0.0040
2581.57,0.0106
2357.01,0.0045
1065.89,0.0002
2914.21,0.0216
2677.65,0.0060
2876.94,0.0024
1774.20,0.0010
2266.98,0.0021
1811.55,0.0047
2054.05,0.0027
3283.18,0.0165
993.20,0.0764
2706.85,0.0136
1689.41,0.0309
1813.66,0.0053
1140.17,0.0321
2359.94,0.0066
2702.83,0.0052
2295.65,0.0071
1144.39,0.0088
1439.32,0.0486
1254.14,0.0066
313.85,0.0000
101.73,0.0471
636.46,0.0481
2914.18,0.0060
2869.90,0.0065
939.46,0.0361
753.53,0.0281
1303.62,0.0817
2788.29,0.0322
2897.93,0.0020
1955.79,0.0172
277.63,0.0110
107.51,0.0039
1602.92,0.0000
1210.17,0.0213
534.00,0.0175
1862.90,0.0502
1394.78,0.0072
1736.91,0.0240
2392.15,0.0254
143.03,0.0529
2124.26,0.0333
2141.91,0.0042
3244.42,0.0427
1213.10,0.0164
888.31,0.0012
1134.31,0.0204
1820.45,0.0014
1347.57,0.0199
2286.42,0.0015
397.95,0.0000
1061.16,0.0665
2074.35,0.0314
2781.01,0.0110
274.37,0.0024
2596.65,0.0029
1233.51,0.0203
426.36,0.0373
503.91,0.0073
568.42,0.0927
1880.11,0.0004
1604.79,0.0054
573.16,0.0080
603.12,0.0074
1081.46,0.0145
1281.38,0.0195
581.23,0.0088
317.16,0.0004
794.19,0.0095
1022.56,0.0038
897.38,0.0081
651.66,0.0110
982.13,0.0006
584.63,0.0175
1857.22,0.1240
2021.50,0.0056
1682.26,0.0148
2088.80,0.0009
2492.41,0.0114
